timestamp,event_type,details
2025-02-10 18:21:56,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:21:58,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:01,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:03,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:06,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:08,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'test_content_manager.py - Workbench - Cursor', 'duration_in_previous_window': 26.59}"
2025-02-10 18:22:08,Work App Usage,{'window': 'test_content_manager.py - Workbench - Cursor'}
2025-02-10 18:22:11,App Switch,"{'previous_window': 'test_content_manager.py - Workbench - Cursor', 'new_window': 'Unknown', 'duration_in_previous_window': 3.47}"
2025-02-10 18:22:11,Distraction,{'window': 'Unknown'}
2025-02-10 18:22:13,App Switch,"{'previous_window': 'Unknown', 'new_window': 'ChatGPT', 'duration_in_previous_window': 1.53}"
2025-02-10 18:22:13,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:16,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:18,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'Focus Forge AI Agent', 'duration_in_previous_window': 5.01}"
2025-02-10 18:22:18,Distraction,{'window': 'Focus Forge AI Agent'}
2025-02-10 18:22:21,App Switch,"{'previous_window': 'Focus Forge AI Agent', 'new_window': 'ChatGPT', 'duration_in_previous_window': 3.45}"
2025-02-10 18:22:21,Work App Usage,{'window': 'ChatGPT'}
2025-02-10 18:22:23,App Switch,"{'previous_window': 'ChatGPT', 'new_window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 1.55}"
2025-02-10 18:22:23,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:26,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:28,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:31,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:33,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:36,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:38,Distraction,{'window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:41,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge/core/content_manager.py at main · Dadudekc/Side-projects - Opera', 'new_window': 'Side-projects/Forge/VlogForge at main · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 18.48}"
2025-02-10 18:22:41,Distraction,{'window': 'Side-projects/Forge/VlogForge at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:43,Distraction,{'window': 'Side-projects/Forge/VlogForge at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:46,Distraction,{'window': 'Side-projects/Forge/VlogForge at main · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:48,App Switch,"{'previous_window': 'Side-projects/Forge/VlogForge at main · Dadudekc/Side-projects - Opera', 'new_window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera', 'duration_in_previous_window': 6.57}"
2025-02-10 18:22:48,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:51,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
2025-02-10 18:22:53,Distraction,{'window': 'New File at Forge/VlogForge · Dadudekc/Side-projects - Opera'}
